locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMOp39x004		perfect	0.686580243330866	5.53565170907742e-19	1.17861527753786e-17	0.833388876565632	1.29414863972236e-16	1.16149859995336e-19	0.650698050655538	0.175397596663655	0.0142409510468116
ZMO1_ZMOp39x005		perfect	4.46280757408978e-15	1.82682166499928e-33	1.75610833804875e-32	1.50725884550397e-10	2.6063167636483e-27	4.0031236956609e-25	0.00173639796243315	1.32809107476819e-09	0.00165955108462835
ZMO1_ZMOp39x006		perfect	0.871221587708525	2.43815722260814e-10	2.06319193349834e-14	0.378237149862442	6.16465388695991e-17	2.66850407950012e-24	0.868102280833887	0.0241912824121746	7.16469214170808e-06
ZMO1_ZMOp39x007		perfect	0.450786974634885	1.23358956567679e-09	4.23042009010682e-20	0.668635786213391	3.95827279836285e-09	5.66945802648106e-13	0.705302003320682	0.183725877662226	0.242928928391575
ZMO1_ZMOp39x008		perfect	0.0962885623730545	7.34345580893823e-18	2.85006185711342e-22	0.205737707226776	1.67104045614483e-19	1.44973412492672e-29	0.495519750748141	0.0705468765565632	4.97541274666235e-06
ZMO1_ZMOp39x009		perfect	0.430031654264992	2.29412232252084e-14	1.95983923578359e-08	0.716968282051968	5.8873016026469e-17	1.58223875457854e-18	0.410717018024408	0.180585009395605	3.40889091074307e-05
ZMO1_ZMOp39x010		perfect	0.734740952677335	8.64696826115463e-05	0.0175085828220434	0.973121520704367	1.52788337605614e-05	8.86081787144761e-07	0.758798592623239	0.505668556460582	0.00111009803367326
ZMO1_ZMOp39x011		perfect	0.459906298610347	2.87153166998655e-12	8.51096238939525e-16	0.587241419140013	4.31060600376902e-15	1.06852649506266e-23	0.843882717522642	0.0122438666615046	1.11499154876197e-06
ZMO1_ZMOp39x012		perfect	0.0541856216166178	2.96990453401684e-15	8.65558854293631e-13	0.234485149085277	4.10157167831764e-12	7.95365366326908e-20	0.68754401857776	0.0209247854443474	4.85208117671393e-07
ZMO1_ZMOp39x013		perfect	0.711836322620306	1.63795236688729e-09	1.18596400762469e-06	0.745856046277173	4.80940518729293e-13	3.72555307239459e-15	0.733362057885767	0.171951241833858	1
ZMO1_ZMOp39x014		perfect	0.505752772126763	0.00194159507923718	4.13220688503243e-06	0.927557852211225	0.000107854814524427	3.46764792791786e-10	0.884530628680968	0.345544160989726	1.41737740256038e-06
ZMO1_ZMOp39x015		perfect	0.402588696351481	1.50284190609976e-22	6.69974738357205e-24	0.0520300609628529	5.25671902564378e-27	4.00126204453465e-33	0.517607138609673	0.010002083526913	0.00129916334067675
ZMO1_ZMOp39x016		perfect	0.00645569417642924	4.12806692654764e-25	4.84847700896267e-23	0.0476814324659003	1.8198520956222e-32	1.19626051006511e-41	0.990861951542754	0.0227961577486668	1.05233585177965e-12
ZMO1_ZMOp39x017		perfect	0.321451606141159	4.15315737295628e-13	1.03328153996473e-12	0.651141113303327	5.95425230296166e-15	2.19967576011656e-19	0.926935639072935	0.128121306326987	0.0055751367714721
ZMO1_ZMOp39x018		perfect	0.906643028406741	4.1132605054415e-09	1.83580452947189e-08	0.300889961111156	8.44162372438346e-14	4.14215445287662e-15	0.134236033164887	0.00248323465327239	2.9952997828197e-05
ZMO1_ZMOp39x019		perfect	0.00809184069442657	6.78133927325713e-26	2.12659686524207e-26	0.00274362360037261	1.48003248070228e-37	1.46205132205871e-44	0.726399620629618	6.9102374161595e-05	9.38078554842424e-14
ZMO1_ZMOp39x021		perfect	0.447357797564264	0.000314335620815956	7.45023470058491e-06	0.49207417707356	1.59432368718024e-05	8.77170266888249e-07	0.685413546740555	0.124815470315688	0.182530418782412
